48 1955.43 1664.09
64 2657.15 2219.9
96 4211.73 3577.44
128 5408.6 4577.89
192 8667.39 7512.98
256 11321.9 9855.64
384 17859.2 14890.3
512 21902.8 18031.6
768 33441.5 27333.5
1024 43283.5 35893.1
1536 60324 50227.7
2048 80017.2 71517.5
3072 113220 97425.3
4096 147354 123865
6144 193171 165390
8192 216794 185490
12288 285032 236993
16384 332238 276692
24576 388990 322870
32768 437958 378921
49152 478623 437355
65536 529171 477768
98304 484893 457345
131072 540825 423203
196608 508475 491748
262144 503157 470582
393216 512565 462301
524288 545356 523388
